Indicator No.,Grading,Domain,Country,Score,Region,Layer
1,1,Media,Venezuela,1,South America,exposure
1,1,Media,Vietnam,0,East & Southeast Asia,exposure
2,1,Media,Albania,3,Europe,exposure
2,1,Media,Argentina,3,South America,exposure
2,1,Media,Armenia,0,Europe,exposure
2,1,Media,Australia,1,Oceania,exposure
2,1,Media,Bolívia,0,South America,exposure
2,1,Media,Bosnia and Herzegovina,1,Europe,exposure
2,1,Media,Brazil,0,South America,exposure
2,1,Media,Cambodia,4,East & Southeast Asia,exposure
2,1,Media,Canada,1,North America,exposure
2,1,Media,Chile,0,South America,exposure
2,1,Media,Colombia,0,South America,exposure
2,1,Media,Czech Republic,0,Europe,exposure
2,1,Media,Egypt,1,North Africa & West Asia,exposure
2,1,Media,Estonia,0,Europe,exposure
2,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
2,1,Media,Georgia,0,Europe,exposure
2,1,Media,Germany,1,Europe,exposure
2,1,Media,Indonesia,1,East & Southeast Asia,exposure
2,1,Media,Japan,1,East & Southeast Asia,exposure
2,1,Media,Jordan,1,North Africa & West Asia,exposure
2,1,Media,Kazakhstan,3,Central Asia,exposure
2,1,Media,Kenya,3,Sub-Saharan Africa,exposure
2,1,Media,Kyrgyzstan,2,Central Asia,exposure
2,1,Media,Latvia,1,Europe,exposure
2,1,Media,Lebanon,0,North Africa & West Asia,exposure
2,1,Media,Malaysia,1,East & Southeast Asia,exposure
2,1,Media,Mexico,0,Central America & Caribbean,exposure
2,1,Media,Montenegro,0,Europe,exposure
2,1,Media,New Zealand,1,Oceania,exposure
2,1,Media,Paraguay,0,South America,exposure
2,1,Media,Peru,0,South America,exposure
2,1,Media,Philippines,1,East & Southeast Asia,exposure
2,1,Media,Poland,0,Europe,exposure
2,1,Media,Serbia,3,Europe,exposure
2,1,Media,Singapore,0,East & Southeast Asia,exposure
2,1,Media,South Korea,3,East & Southeast Asia,exposure
2,1,Media,Taiwan,3,East & Southeast Asia,exposure
2,1,Media,Tajikistan,3,Central Asia,exposure
2,1,Media,Thailand,3,East & Southeast Asia,exposure
2,1,Media,Turkey,0,North Africa & West Asia,exposure
2,1,Media,United Kingdom,1,Europe,exposure
2,1,Media,United States,1,North America,exposure
2,1,Media,Uruguay,0,South America,exposure
2,1,Media,Uzbekistan,0,Central Asia,exposure
2,1,Media,Venezuela,0,South America,exposure
2,1,Media,Vietnam,0,East & Southeast Asia,exposure
3,1,Media,Albania,2,Europe,exposure
3,1,Media,Argentina,3,South America,exposure
3,1,Media,Armenia,0,Europe,exposure
3,1,Media,Australia,4,Oceania,exposure
3,1,Media,Bolívia,,South America,exposure
3,1,Media,Bosnia and Herzegovina,0,Europe,exposure
3,1,Media,Brazil,,South America,exposure
3,1,Media,Cambodia,3,East & Southeast Asia,exposure
3,1,Media,Canada,4,North America,exposure
3,1,Media,Chile,3,South America,exposure
3,1,Media,Colombia,1,South America,exposure
3,1,Media,Czech Republic,0,Europe,exposure
3,1,Media,Egypt,,North Africa & West Asia,exposure
3,1,Media,Estonia,0,Europe,exposure
3,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
3,1,Media,Georgia,4,Europe,exposure
3,1,Media,Germany,3,Europe,exposure
3,1,Media,Indonesia,4,East & Southeast Asia,exposure
3,1,Media,Japan,0,East & Southeast Asia,exposure
3,1,Media,Jordan,3,North Africa & West Asia,exposure
3,1,Media,Kazakhstan,3,Central Asia,exposure
3,1,Media,Kenya,3,Sub-Saharan Africa,exposure
3,1,Media,Kyrgyzstan,3,Central Asia,exposure
3,1,Media,Latvia,1,Europe,exposure
3,1,Media,Lebanon,,North Africa & West Asia,exposure
3,1,Media,Malaysia,2,East & Southeast Asia,exposure
3,1,Media,Mexico,3,Central America & Caribbean,exposure
3,1,Media,Montenegro,4,Europe,exposure
3,1,Media,New Zealand,3,Oceania,exposure
3,1,Media,Paraguay,0,South America,exposure
3,1,Media,Peru,4,South America,exposure
3,1,Media,Philippines,,East & Southeast Asia,exposure
3,1,Media,Poland,0,Europe,exposure
3,1,Media,Serbia,3,Europe,exposure
3,1,Media,Singapore,3,East & Southeast Asia,exposure
3,1,Media,South Korea,4,East & Southeast Asia,exposure
3,1,Media,Taiwan,4,East & Southeast Asia,exposure
3,1,Media,Tajikistan,3,Central Asia,exposure
3,1,Media,Thailand,2,East & Southeast Asia,exposure
3,1,Media,Turkey,3,North Africa & West Asia,exposure
3,1,Media,United Kingdom,2,Europe,exposure
3,1,Media,United States,0,North America,exposure
3,1,Media,Uruguay,0,South America,exposure
3,1,Media,Uzbekistan,1,Central Asia,exposure
3,1,Media,Venezuela,3,South America,exposure
3,1,Media,Vietnam,0,East & Southeast Asia,exposure
4,1,Media,Albania,0,Europe,exposure
4,1,Media,Argentina,1,South America,exposure
4,1,Media,Armenia,0,Europe,exposure
4,1,Media,Australia,3,Oceania,exposure
4,1,Media,Bolívia,3,South America,exposure
4,1,Media,Bosnia and Herzegovina,0,Europe,exposure
4,1,Media,Brazil,0,South America,exposure
4,1,Media,Cambodia,4,East & Southeast Asia,exposure
4,1,Media,Canada,0,North America,exposure
4,1,Media,Chile,,South America,exposure
4,1,Media,Colombia,0,South America,exposure
4,1,Media,Czech Republic,0,Europe,exposure
4,1,Media,Egypt,3,North Africa & West Asia,exposure
4,1,Media,Estonia,0,Europe,exposure
4,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
4,1,Media,Georgia,4,Europe,exposure
4,1,Media,Germany,1,Europe,exposure
4,1,Media,Indonesia,0,East & Southeast Asia,exposure
4,1,Media,Japan,,East & Southeast Asia,exposure
4,1,Media,Jordan,4,North Africa & West Asia,exposure
4,1,Media,Kazakhstan,3,Central Asia,exposure
4,1,Media,Kenya,3,Sub-Saharan Africa,exposure
4,1,Media,Kyrgyzstan,1,Central Asia,exposure
4,1,Media,Latvia,1,Europe,exposure
4,1,Media,Lebanon,3,North Africa & West Asia,exposure
4,1,Media,Malaysia,3,East & Southeast Asia,exposure
4,1,Media,Mexico,0,Central America & Caribbean,exposure
4,1,Media,Montenegro,0,Europe,exposure
4,1,Media,New Zealand,1,Oceania,exposure
4,1,Media,Paraguay,0,South America,exposure
4,1,Media,Peru,4,South America,exposure
4,1,Media,Philippines,4,East & Southeast Asia,exposure
4,1,Media,Poland,0,Europe,exposure
4,1,Media,Serbia,,Europe,exposure
4,1,Media,Singapore,4,East & Southeast Asia,exposure
4,1,Media,South Korea,4,East & Southeast Asia,exposure
4,1,Media,Taiwan,2,East & Southeast Asia,exposure
4,1,Media,Tajikistan,0,Central Asia,exposure
4,1,Media,Thailand,3,East & Southeast Asia,exposure
4,1,Media,Turkey,0,North Africa & West Asia,exposure
4,1,Media,United Kingdom,3,Europe,exposure
4,1,Media,United States,1,North America,exposure
4,1,Media,Uruguay,1,South America,exposure
4,1,Media,Uzbekistan,0,Central Asia,exposure
4,1,Media,Venezuela,3,South America,exposure
4,1,Media,Vietnam,0,East & Southeast Asia,exposure
5,1,Media,Albania,1,Europe,exposure
5,1,Media,Argentina,3,South America,exposure
5,1,Media,Armenia,0,Europe,exposure
5,1,Media,Australia,3,Oceania,exposure
5,1,Media,Bolívia,1,South America,exposure
5,1,Media,Bosnia and Herzegovina,4,Europe,exposure
5,1,Media,Brazil,1,South America,exposure
5,1,Media,Cambodia,3,East & Southeast Asia,exposure
5,1,Media,Canada,4,North America,exposure
5,1,Media,Chile,3,South America,exposure
5,1,Media,Colombia,1,South America,exposure
5,1,Media,Czech Republic,1,Europe,exposure
5,1,Media,Egypt,4,North Africa & West Asia,exposure
5,1,Media,Estonia,1,Europe,exposure
5,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
5,1,Media,Georgia,0,Europe,exposure
5,1,Media,Germany,3,Europe,exposure
5,1,Media,Indonesia,1,East & Southeast Asia,exposure
5,1,Media,Japan,1,East & Southeast Asia,exposure
5,1,Media,Jordan,0,North Africa & West Asia,exposure
5,1,Media,Kazakhstan,0,Central Asia,exposure
5,1,Media,Kenya,3,Sub-Saharan Africa,exposure
5,1,Media,Kyrgyzstan,2,Central Asia,exposure
5,1,Media,Latvia,0,Europe,exposure
5,1,Media,Lebanon,4,North Africa & West Asia,exposure
5,1,Media,Malaysia,3,East & Southeast Asia,exposure
5,1,Media,Mexico,3,Central America & Caribbean,exposure
5,1,Media,Montenegro,0,Europe,exposure
5,1,Media,New Zealand,3,Oceania,exposure
5,1,Media,Paraguay,0,South America,exposure
5,1,Media,Peru,4,South America,exposure
5,1,Media,Philippines,3,East & Southeast Asia,exposure
5,1,Media,Poland,1,Europe,exposure
5,1,Media,Serbia,1,Europe,exposure
5,1,Media,Singapore,4,East & Southeast Asia,exposure
5,1,Media,South Korea,2,East & Southeast Asia,exposure
5,1,Media,Taiwan,4,East & Southeast Asia,exposure
5,1,Media,Tajikistan,0,Central Asia,exposure
5,1,Media,Thailand,3,East & Southeast Asia,exposure
5,1,Media,Turkey,3,North Africa & West Asia,exposure
5,1,Media,United Kingdom,4,Europe,exposure
5,1,Media,United States,2,North America,exposure
5,1,Media,Uruguay,0,South America,exposure
5,1,Media,Uzbekistan,0,Central Asia,exposure
5,1,Media,Venezuela,3,South America,exposure
5,1,Media,Vietnam,0,East & Southeast Asia,exposure
6,1,Media,Albania,0,Europe,exposure
6,1,Media,Argentina,0,South America,exposure
6,1,Media,Armenia,0,Europe,exposure
6,1,Media,Australia,2,Oceania,exposure
6,1,Media,Bolívia,0,South America,exposure
6,1,Media,Bosnia and Herzegovina,0,Europe,exposure
6,1,Media,Brazil,0,South America,exposure
6,1,Media,Cambodia,3,East & Southeast Asia,exposure
6,1,Media,Canada,1,North America,exposure
6,1,Media,Chile,1,South America,exposure
6,1,Media,Colombia,0,South America,exposure
6,1,Media,Czech Republic,3,Europe,exposure
6,1,Media,Egypt,0,North Africa & West Asia,exposure
6,1,Media,Estonia,0,Europe,exposure
6,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
6,1,Media,Georgia,3,Europe,exposure
6,1,Media,Germany,3,Europe,exposure
6,1,Media,Indonesia,1,East & Southeast Asia,exposure
6,1,Media,Japan,2,East & Southeast Asia,exposure
6,1,Media,Jordan,0,North Africa & West Asia,exposure
6,1,Media,Kazakhstan,,Central Asia,exposure
6,1,Media,Kenya,3,Sub-Saharan Africa,exposure
6,1,Media,Kyrgyzstan,1,Central Asia,exposure
6,1,Media,Latvia,0,Europe,exposure
6,1,Media,Lebanon,0,North Africa & West Asia,exposure
6,1,Media,Malaysia,1,East & Southeast Asia,exposure
6,1,Media,Mexico,1,Central America & Caribbean,exposure
6,1,Media,Montenegro,0,Europe,exposure
6,1,Media,New Zealand,3,Oceania,exposure
6,1,Media,Paraguay,0,South America,exposure
6,1,Media,Peru,3,South America,exposure
6,1,Media,Philippines,0,East & Southeast Asia,exposure
6,1,Media,Poland,1,Europe,exposure
6,1,Media,Serbia,0,Europe,exposure
6,1,Media,Singapore,0,East & Southeast Asia,exposure
6,1,Media,South Korea,0,East & Southeast Asia,exposure
6,1,Media,Taiwan,3,East & Southeast Asia,exposure
6,1,Media,Tajikistan,0,Central Asia,exposure
6,1,Media,Thailand,3,East & Southeast Asia,exposure
6,1,Media,Turkey,0,North Africa & West Asia,exposure
6,1,Media,United Kingdom,3,Europe,exposure
6,1,Media,United States,1,North America,exposure
6,1,Media,Uruguay,0,South America,exposure
6,1,Media,Uzbekistan,0,Central Asia,exposure
6,1,Media,Venezuela,0,South America,exposure
6,1,Media,Vietnam,1,East & Southeast Asia,exposure
7,1,Media,Albania,2,Europe,exposure
7,1,Media,Argentina,3,South America,exposure
7,1,Media,Armenia,0,Europe,exposure
7,1,Media,Australia,4,Oceania,exposure
7,1,Media,Bolívia,0,South America,exposure
7,1,Media,Bosnia and Herzegovina,1,Europe,exposure
7,1,Media,Brazil,0,South America,exposure
7,1,Media,Cambodia,3,East & Southeast Asia,exposure
7,1,Media,Canada,4,North America,exposure
7,1,Media,Chile,3,South America,exposure
7,1,Media,Colombia,1,South America,exposure
7,1,Media,Czech Republic,1,Europe,exposure
7,1,Media,Egypt,3,North Africa & West Asia,exposure
7,1,Media,Estonia,0,Europe,exposure
7,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
7,1,Media,Georgia,2,Europe,exposure
7,1,Media,Germany,4,Europe,exposure
7,1,Media,Indonesia,1,East & Southeast Asia,exposure
7,1,Media,Japan,3,East & Southeast Asia,exposure
7,1,Media,Jordan,1,North Africa & West Asia,exposure
7,1,Media,Kazakhstan,4,Central Asia,exposure
7,1,Media,Kenya,3,Sub-Saharan Africa,exposure
7,1,Media,Kyrgyzstan,1,Central Asia,exposure
7,1,Media,Latvia,2,Europe,exposure
7,1,Media,Lebanon,3,North Africa & West Asia,exposure
7,1,Media,Malaysia,2,East & Southeast Asia,exposure
7,1,Media,Mexico,1,Central America & Caribbean,exposure
7,1,Media,Montenegro,0,Europe,exposure
7,1,Media,New Zealand,3,Oceania,exposure
7,1,Media,Paraguay,0,South America,exposure
7,1,Media,Peru,4,South America,exposure
7,1,Media,Philippines,3,East & Southeast Asia,exposure
7,1,Media,Poland,0,Europe,exposure
7,1,Media,Serbia,1,Europe,exposure
7,1,Media,Singapore,3,East & Southeast Asia,exposure
7,1,Media,South Korea,0,East & Southeast Asia,exposure
7,1,Media,Taiwan,3,East & Southeast Asia,exposure
7,1,Media,Tajikistan,0,Central Asia,exposure
7,1,Media,Thailand,1,East & Southeast Asia,exposure
7,1,Media,Turkey,1,North Africa & West Asia,exposure
7,1,Media,United Kingdom,2,Europe,exposure
7,1,Media,United States,3,North America,exposure
7,1,Media,Uruguay,1,South America,exposure
7,1,Media,Uzbekistan,1,Central Asia,exposure
7,1,Media,Venezuela,3,South America,exposure
7,1,Media,Vietnam,0,East & Southeast Asia,exposure
8,1,Media,Albania,0,Europe,exposure
8,1,Media,Argentina,1,South America,exposure
8,1,Media,Armenia,0,Europe,exposure
8,1,Media,Australia,2,Oceania,exposure
8,1,Media,Bolívia,0,South America,exposure
8,1,Media,Bosnia and Herzegovina,1,Europe,exposure
8,1,Media,Brazil,0,South America,exposure
8,1,Media,Cambodia,0,East & Southeast Asia,exposure
8,1,Media,Canada,4,North America,exposure
8,1,Media,Chile,4,South America,exposure
8,1,Media,Colombia,0,South America,exposure
8,1,Media,Czech Republic,0,Europe,exposure
8,1,Media,Egypt,0,North Africa & West Asia,exposure
8,1,Media,Estonia,2,Europe,exposure
8,1,Media,Ethiopia,0,Sub-Saharan Africa,exposure
8,1,Media,Georgia,3,Europe,exposure
8,1,Media,Germany,3,Europe,exposure
8,1,Media,Indonesia,2,East & Southeast Asia,exposure
8,1,Media,Japan,1,East & Southeast Asia,exposure
8,1,Media,Jordan,0,North Africa & West Asia,exposure
8,1,Media,Kazakhstan,3,Central Asia,exposure
8,1,Media,Kenya,0,Sub-Saharan Africa,exposure
8,1,Media,Kyrgyzstan,3,Central Asia,exposure
8,1,Media,Latvia,0,Europe,exposure
8,1,Media,Lebanon,2,North Africa & West Asia,exposure
8,1,Media,Malaysia,0,East & Southeast Asia,exposure
8,1,Media,Mexico,1,Central America & Caribbean,exposure
8,1,Media,Montenegro,0,Europe,exposure
8,1,Media,New Zealand,3,Oceania,exposure
8,1,Media,Paraguay,0,South America,exposure
8,1,Media,Peru,4,South America,exposure
8,1,Media,Philippines,3,East & Southeast Asia,exposure
8,1,Media,Poland,3,Europe,exposure
8,1,Media,Serbia,1,Europe,exposure
8,1,Media,Singapore,,East & Southeast Asia,exposure
8,1,Media,South Korea,1,East & Southeast Asia,exposure
8,1,Media,Taiwan,4,East & Southeast Asia,exposure
8,1,Media,Tajikistan,1,Central Asia,exposure
8,1,Media,Thailand,0,East & Southeast Asia,exposure
8,1,Media,Turkey,4,North Africa & West Asia,exposure
8,1,Media,United Kingdom,4,Europe,exposure
8,1,Media,United States,3,North America,exposure
8,1,Media,Uruguay,0,South America,exposure
8,1,Media,Uzbekistan,2,Central Asia,exposure
8,1,Media,Venezuela,0,South America,exposure
8,1,Media,Vietnam,0,East & Southeast Asia,exposure
9,0,Media,Albania,4,Europe,pressure
9,0,Media,Argentina,0,South America,pressure
9,0,Media,Armenia,0,Europe,pressure
9,0,Media,Australia,4,Oceania,pressure
9,0,Media,Bolívia,0,South America,pressure
9,0,Media,Bosnia and Herzegovina,0,Europe,pressure
9,0,Media,Brazil,0,South America,pressure
9,0,Media,Cambodia,0,East & Southeast Asia,pressure
9,0,Media,Canada,4,North America,pressure
9,0,Media,Chile,0,South America,pressure
9,0,Media,Colombia,0,South America,pressure
9,0,Media,Czech Republic,0,Europe,pressure
9,0,Media,Egypt,0,North Africa & West Asia,pressure
9,0,Media,Estonia,4,Europe,pressure
9,0,Media,Ethiopia,0,Sub-Saharan Africa,pressure
9,0,Media,Georgia,0,Europe,pressure
9,0,Media,Germany,4,Europe,pressure
9,0,Media,Indonesia,4,East & Southeast Asia,pressure
9,0,Media,Japan,0,East & Southeast Asia,pressure
9,0,Media,Jordan,0,North Africa & West Asia,pressure
9,0,Media,Kazakhstan,4,Central Asia,pressure
9,0,Media,Kenya,0,Sub-Saharan Africa,pressure
9,0,Media,Kyrgyzstan,0,Central Asia,pressure
9,0,Media,Latvia,,Europe,pressure
9,0,Media,Lebanon,0,North Africa & West Asia,pressure
9,0,Media,Malaysia,4,East & Southeast Asia,pressure
9,0,Media,Mexico,0,Central America & Caribbean,pressure
9,0,Media,Montenegro,0,Europe,pressure
9,0,Media,New Zealand,0,Oceania,pressure
9,0,Media,Paraguay,0,South America,pressure
9,0,Media,Peru,0,South America,pressure
9,0,Media,Philippines,4,East & Southeast Asia,pressure
9,0,Media,Poland,0,Europe,pressure
9,0,Media,Serbia,0,Europe,pressure
9,0,Media,Singapore,4,East & Southeast Asia,pressure
9,0,Media,South Korea,0,East & Southeast Asia,pressure
9,0,Media,Taiwan,4,East & Southeast Asia,pressure
9,0,Media,Tajikistan,0,Central Asia,pressure
9,0,Media,Thailand,4,East & Southeast Asia,pressure
9,0,Media,Turkey,0,North Africa & West Asia,pressure
9,0,Media,United Kingdom,4,Europe,pressure
9,0,Media,United States,4,North America,pressure
9,0,Media,Uruguay,4,South America,pressure
9,0,Media,Uzbekistan,0,Central Asia,pressure
9,0,Media,Venezuela,0,South America,pressure
9,0,Media,Vietnam,0,East & Southeast Asia,pressure
10,1,Media,Albania,0,Europe,effect
10,1,Media,Argentina,0,South America,effect
10,1,Media,Armenia,0,Europe,effect
10,1,Media,Australia,3,Oceania,effect
10,1,Media,Bolívia,0,South America,effect
10,1,Media,Bosnia and Herzegovina,0,Europe,effect
10,1,Media,Brazil,0,South America,effect
10,1,Media,Cambodia,3,East & Southeast Asia,effect
10,1,Media,Canada,4,North America,effect
10,1,Media,Chile,0,South America,effect
10,1,Media,Colombia,0,South America,effect
10,1,Media,Czech Republic,0,Europe,effect
10,1,Media,Egypt,0,North Africa & West Asia,effect
10,1,Media,Estonia,0,Europe,effect
10,1,Media,Ethiopia,,Sub-Saharan Africa,effect
10,1,Media,Georgia,0,Europe,effect
10,1,Media,Germany,1,Europe,effect
10,1,Media,Indonesia,3,East & Southeast Asia,effect
10,1,Media,Japan,0,East & Southeast Asia,effect
10,1,Media,Jordan,0,North Africa & West Asia,effect
10,1,Media,Kazakhstan,0,Central Asia,effect
10,1,Media,Kenya,0,Sub-Saharan Africa,effect
10,1,Media,Kyrgyzstan,0,Central Asia,effect
10,1,Media,Latvia,0,Europe,effect
10,1,Media,Lebanon,1,North Africa & West Asia,effect
10,1,Media,Malaysia,2,East & Southeast Asia,effect
10,1,Media,Mexico,0,Central America & Caribbean,effect
10,1,Media,Montenegro,0,Europe,effect
10,1,Media,New Zealand,3,Oceania,effect
10,1,Media,Paraguay,0,South America,effect
10,1,Media,Peru,4,South America,effect
10,1,Media,Philippines,3,East & Southeast Asia,effect
10,1,Media,Poland,,Europe,effect
10,1,Media,Serbia,0,Europe,effect
10,1,Media,Singapore,0,East & Southeast Asia,effect
10,1,Media,South Korea,1,East & Southeast Asia,effect
10,1,Media,Taiwan,4,East & Southeast Asia,effect
10,1,Media,Tajikistan,0,Central Asia,effect
10,1,Media,Thailand,2,East & Southeast Asia,effect
10,1,Media,Turkey,1,North Africa & West Asia,effect
10,1,Media,United Kingdom,1,Europe,effect
10,1,Media,United States,3,North America,effect
10,1,Media,Uruguay,1,South America,effect
10,1,Media,Uzbekistan,0,Central Asia,effect
10,1,Media,Venezuela,0,South America,effect
10,1,Media,Vietnam,,East & Southeast Asia,effect
11,1,Media,Albania,0,Europe,effect
11,1,Media,Argentina,0,South America,effect
11,1,Media,Armenia,0,Europe,effect
11,1,Media,Australia,0,Oceania,effect
11,1,Media,Bolívia,0,South America,effect
11,1,Media,Bosnia and Herzegovina,0,Europe,effect
11,1,Media,Brazil,0,South America,effect
11,1,Media,Cambodia,0,East & Southeast Asia,effect
11,1,Media,Canada,4,North America,effect
11,1,Media,Chile,3,South America,effect
11,1,Media,Colombia,0,South America,effect
11,1,Media,Czech Republic,1,Europe,effect
11,1,Media,Egypt,0,North Africa & West Asia,effect
11,1,Media,Estonia,0,Europe,effect
11,1,Media,Ethiopia,0,Sub-Saharan Africa,effect
11,1,Media,Georgia,0,Europe,effect
11,1,Media,Germany,1,Europe,effect
11,1,Media,Indonesia,4,East & Southeast Asia,effect
11,1,Media,Japan,0,East & Southeast Asia,effect
11,1,Media,Jordan,0,North Africa & West Asia,effect
11,1,Media,Kazakhstan,0,Central Asia,effect
11,1,Media,Kenya,,Sub-Saharan Africa,effect
11,1,Media,Kyrgyzstan,3,Central Asia,effect
11,1,Media,Latvia,0,Europe,effect
11,1,Media,Lebanon,1,North Africa & West Asia,effect
11,1,Media,Malaysia,1,East & Southeast Asia,effect
11,1,Media,Mexico,0,Central America & Caribbean,effect
11,1,Media,Montenegro,0,Europe,effect
11,1,Media,New Zealand,0,Oceania,effect
11,1,Media,Paraguay,0,South America,effect
11,1,Media,Peru,0,South America,effect
11,1,Media,Philippines,3,East & Southeast Asia,effect
11,1,Media,Poland,1,Europe,effect
11,1,Media,Serbia,0,Europe,effect
11,1,Media,Singapore,4,East & Southeast Asia,effect
11,1,Media,South Korea,1,East & Southeast Asia,effect
11,1,Media,Taiwan,4,East & Southeast Asia,effect
11,1,Media,Tajikistan,1,Central Asia,effect
11,1,Media,Thailand,0,East & Southeast Asia,effect
11,1,Media,Turkey,3,North Africa & West Asia,effect
11,1,Media,United Kingdom,1,Europe,effect
11,1,Media,United States,3,North America,effect
11,1,Media,Uruguay,1,South America,effect
11,1,Media,Uzbekistan,0,Central Asia,effect
11,1,Media,Venezuela,3,South America,effect
11,1,Media,Vietnam,3,East & Southeast Asia,effect
12,0,Foreign Policy,Albania,0,Europe,exposure
12,0,Foreign Policy,Argentina,4,South America,exposure
12,0,Foreign Policy,Armenia,4,Europe,exposure
12,0,Foreign Policy,Australia,4,Oceania,exposure
12,0,Foreign Policy,Bolívia,4,South America,exposure
12,0,Foreign Policy,Bosnia and Herzegovina,0,Europe,exposure
12,0,Foreign Policy,Brazil,4,South America,exposure
12,0,Foreign Policy,Cambodia,0,East & Southeast Asia,exposure
12,0,Foreign Policy,Canada,0,North America,exposure
12,0,Foreign Policy,Chile,4,South America,exposure
12,0,Foreign Policy,Colombia,4,South America,exposure
12,0,Foreign Policy,Czech Republic,0,Europe,exposure
12,0,Foreign Policy,Egypt,4,North Africa & West Asia,exposure
12,0,Foreign Policy,Estonia,4,Europe,exposure
12,0,Foreign Policy,Ethiopia,0,Sub-Saharan Africa,exposure
12,0,Foreign Policy,Georgia,4,Europe,exposure
12,0,Foreign Policy,Germany,4,Europe,exposure
12,0,Foreign Policy,Indonesia,0,East & Southeast Asia,exposure
12,0,Foreign Policy,Japan,4,East & Southeast Asia,exposure
12,0,Foreign Policy,Jordan,4,North Africa & West Asia,exposure
12,0,Foreign Policy,Kazakhstan,4,Central Asia,exposure
12,0,Foreign Policy,Kenya,4,Sub-Saharan Africa,exposure
12,0,Foreign Policy,Kyrgyzstan,4,Central Asia,exposure
12,0,Foreign Policy,Latvia,4,Europe,exposure
12,0,Foreign Policy,Lebanon,4,North Africa & West Asia,exposure
12,0,Foreign Policy,Malaysia,4,East & Southeast Asia,exposure
12,0,Foreign Policy,Mexico,4,Central America & Caribbean,exposure
12,0,Foreign Policy,Montenegro,4,Europe,exposure
12,0,Foreign Policy,New Zealand,4,Oceania,exposure
12,0,Foreign Policy,Paraguay,0,South America,exposure
12,0,Foreign Policy,Peru,4,South America,exposure
12,0,Foreign Policy,Philippines,0,East & Southeast Asia,exposure
12,0,Foreign Policy,Poland,0,Europe,exposure
12,0,Foreign Policy,Serbia,4,Europe,exposure
12,0,Foreign Policy,Singapore,0,East & Southeast Asia,exposure
12,0,Foreign Policy,South Korea,4,East & Southeast Asia,exposure
12,0,Foreign Policy,Taiwan,0,East & Southeast Asia,exposure
12,0,Foreign Policy,Tajikistan,4,Central Asia,exposure
12,0,Foreign Policy,Thailand,4,East & Southeast Asia,exposure
12,0,Foreign Policy,Turkey,4,North Africa & West Asia,exposure
12,0,Foreign Policy,United Kingdom,0,Europe,exposure
12,0,Foreign Policy,United States,0,North America,exposure
12,0,Foreign Policy,Uruguay,4,South America,exposure
12,0,Foreign Policy,Uzbekistan,0,Central Asia,exposure
12,0,Foreign Policy,Venezuela,0,South America,exposure
12,0,Foreign Policy,Vietnam,4,East & Southeast Asia,exposure
13,1,Foreign Policy,Albania,0,Europe,exposure
13,1,Foreign Policy,Argentina,3,South America,exposure
